Age,Gender,Neuter_status,Breed_group,Weaning_age,Outdoors,Other_cats,Activity_level,Contact_people,Aggression_stranger,Aggression_owner,Aggression_cats,Shyness_novel,Shyness_strangers,Grooming,Wool_sucking,Behaviour_problem
11.1397,1,1,HCS,1,2,1,2,4,3,2,2,1,3,2.0,5.0,1.0
3.7205,2,1,HCS,1,1,1,4,4,1,1,2,2,2,3.0,5.0,1.0
10.5151,2,1,HCS,2,3,1,3,4,2,2,1,1,1,1.0,2.0,1.0
1.789,1,1,SBI,5,4,1,4,4,1,1,2,2,1,1.0,0.0,1.0
2.5781,1,1,HCS,4,2,1,2,4,1,1,1,3,1,3.0,3.0,1.0
0.6027,2,1,HCS,4,3,1,4,4,1,1,1,2,3,3.0,1.0,1.0
1.0767,1,0,SBI,5,4,1,3,4,1,1,1,1,1,1.0,0.0,1.0
7.389,1,1,HCS,6,5,1,4,5,1,1,1,2,2,1.0,5.0,1.0
6.3945,1,1,HCS,2,5,1,4,5,1,1,2,3,1,1.0,0.0,1.0
1.6082,2,0,SBI,4,2,0,3,4,2,2,3,3,2,3.0,1.0,1.0
2.7205,1,1,HCS,3,1,0,3,4,1,1,1,3,2,3.0,0.0,1.0
1.5918,1,1,HCS,1,0,1,4,3,1,1,1,2,3,3.0,0.0,1.0
13.7671,1,1,HCS,2,5,1,4,5,1,1,1,2,1,5.0,0.0,1.0
7.5425,2,1,HCS,4,1,1,2,3,1,1,1,2,2,1.0,0.0,1.0
3.5671,1,1,HCS,4,3,1,3,4,1,1,1,4,4,1.0,5.0,1.0
1.5288,1,1,HCS,3,2,0,4,4,1,1,1,3,5,3.0,2.0,1.0
1.7644,2,1,RUS,4,1,1,5,5,1,1,1,2,2,1.0,0.0,1.0
1.1781,1,1,HCS,4,5,1,5,4,1,1,1,3,3,3.0,2.0,0.0
3.3507,1,1,ABY,5,1,1,4,5,1,1,1,2,1,2.0,2.0,1.0
4.1589,1,1,ABY,5,4,1,4,5,1,1,1,1,1,1.0,0.0,1.0
0.989,2,0,ABY,8,1,1,4,4,1,1,1,2,2,1.0,0.0,1.0
5.8,1,1,ABY,4,4,1,3,2,1,1,1,2,3,1.0,0.0,1.0
4.6877,1,1,ABY,4,4,1,3,5,1,1,1,2,3,1.0,5.0,0.0
2.1726,1,1,HCS,3,4,1,4,5,1,1,1,2,1,3.0,5.0,1.0
2.9397,1,0,ABY,6,1,1,5,5,1,1,1,1,1,1.0,0.0,1.0
5.4575,2,1,RUS,4,4,0,3,3,1,1,4,3,3,1.0,0.0,1.0
4.1753,2,0,RUS,5,3,1,4,5,1,1,2,1,1,1.0,0.0,2.0
3.8932,2,1,RAG,4,4,1,2,2,1,1,1,3,2,1.0,4.0,1.0
3.2904,1,1,RAG,4,4,1,4,5,1,1,1,2,1,1.0,4.0,1.0
6.5616,2,1,ABY,4,1,1,4,5,1,1,1,1,1,1.0,2.0,1.0
0.6521,2,0,SIB,4,5,1,5,5,1,1,1,1,1,1.0,0.0,1.0
1.8274,2,1,SIB,4,5,1,4,5,1,1,1,1,1,1.0,0.0,1.0
3.5068,1,0,ABY,4,1,0,4,4,1,1,4,2,2,3.0,0.0,1.0
6.0301,1,1,other,4,4,0,4,5,1,1,2,1,1,2.0,0.0,1.0
1.8849,1,0,MCO,5,0,1,3,4,1,2,1,3,1,3.0,3.0,1.0
3.7589,1,1,HCS,2,4,0,3,3,1,3,2,3,2,3.0,2.0,0.0
0.4959,1,0,TUV,4,2,1,4,3,1,1,1,2,1,1.0,4.0,1.0
10.3918,1,1,HCS,1,0,1,3,4,1,1,1,3,2,5.0,1.0,3.0
7.4603,1,1,other,4,4,1,3,5,1,1,2,1,1,2.0,3.0,1.0
0.7452,2,0,HCS,5,4,0,5,5,1,1,1,4,3,3.0,0.0,1.0
7.674,1,1,HCS,8,0,1,4,4,1,1,2,1,2,1.0,0.0,1.0
4.5068,2,1,other,4,2,1,3,4,1,1,1,3,2,1.0,4.0,1.0
0.8932,1,0,other,6,5,1,5,5,1,1,1,2,1,1.0,3.0,1.0
7.7973,2,1,other,5,4,1,3,4,1,1,1,2,2,1.0,2.0,2.0
8.5068,1,1,HCS,4,0,0,3,4,2,2,2,2,2,3.0,0.0,0.0
2.7397,2,0,HCS,3,2,1,4,4,1,1,2,1,1,3.0,0.0,1.0
1.4795,1,1,HCS,3,3,1,5,5,1,1,3,1,1,2.0,3.0,2.0
0.5288,1,0,HCS,8,2,1,5,3,1,1,1,1,2,1.0,5.0,1.0
4.9288,2,1,ABY,4,0,1,4,5,1,1,3,2,4,1.0,0.0,1.0
2.0466,2,1,ABY,4,1,1,4,5,1,1,2,1,1,1.0,0.0,1.0
6.3014,2,1,RAG,4,1,1,3,4,1,1,1,1,1,2.0,2.0,1.0
3.1918,2,1,ORI,4,1,1,4,3,1,2,4,3,2,2.0,5.0,2.0
5.789,1,1,CRX,4,0,1,4,5,1,1,2,1,1,1.0,0.0,1.0
5.1233,2,1,CRX,5,0,1,3,4,1,1,2,1,1,1.0,5.0,0.0
3.7945,1,0,other,4,0,1,5,3,1,1,1,2,2,1.0,0.0,1.0
4.8384,2,1,KOR,6,2,1,5,5,1,1,1,2,1,2.0,1.0,1.0
3.0438,2,0,KOR,6,3,1,5,5,1,1,1,1,1,2.0,1.0,1.0
7.7151,2,1,BUR,4,0,1,3,4,1,1,1,2,1,2.0,0.0,1.0
3.0438,1,1,KOR,6,3,0,5,5,1,1,1,2,2,2.0,1.0,1.0
4.2658,2,1,BUR,4,3,1,3,4,1,1,3,2,1,3.0,0.0,1.0
6.5068,1,1,SBI,4,1,1,2,2,1,1,1,1,1,1.0,0.0,2.0
4.1288,2,1,BUR,4,3,1,2,3,1,1,3,2,1,1.0,0.0,1.0
1.3589,1,1,BEN,6,4,1,4,5,1,1,1,2,2,2.0,0.0,1.0
1.3589,1,1,BEN,6,4,1,4,5,1,2,2,2,2,1.0,4.0,1.0
4.0959,1,1,BEN,4,4,1,5,5,1,1,3,2,1,3.0,0.0,0.0
